X,Y
0.000000,10.7778
0.003333,11.8809
0.006667,10.6818
0.010000,9.4022
0.013333,21.3702
0.016667,30.1370
0.020000,27.4350
0.023333,16.5082
0.026667,10.6749
0.030000,11.3561
0.033333,9.1651
0.036667,10.7824
0.040000,9.4909
0.043333,10.3360
0.046667,20.0471
0.050000,32.4003
0.053333,30.2778
0.056667,19.2955
0.060000,10.2948
0.063333,11.1006
0.066667,7.2446
0.070000,10.3921
0.073333,12.8976
0.076667,8.9861
0.080000,13.5011
0.083333,29.5606
0.086667,34.7114
0.090000,25.3185
0.093333,14.4369
0.096667,10.1137
0.100000,11.9378
0.103333,8.7599
0.106667,10.4739
0.110000,12.4887
0.113333,16.2121
0.116667,23.3807
0.120000,29.3094
0.123333,30.2650
0.126667,19.0461
0.130000,18.2051
0.133333,12.2517
0.136667,13.6428
0.140000,14.3814
0.143333,13.2248
0.146667,18.1863
0.150000,32.0690
0.153333,33.5887
0.156667,19.8889
0.160000,19.0382
0.163333,17.5627
0.166667,16.0102
0.170000,13.8266
0.173333,9.2936
0.176667,14.0358
0.180000,22.1419
0.183333,28.2820
0.186667,32.3308
0.190000,21.1758
0.193333,17.7881
0.196667,16.0343
0.200000,14.1347
0.203333,15.4233
0.206667,18.1404
0.210000,19.7589
0.213333,29.8264
0.216667,32.8830
0.220000,32.1436
0.223333,24.1745
0.226667,19.4369
0.230000,18.4065
0.233333,19.9800
0.236667,21.2590
0.240000,20.2919
0.243333,22.3266
0.246667,23.4288
0.250000,22.4224
0.253333,18.7969
0.256667,17.8531
0.260000,17.3439
0.263333,13.8237
0.266667,12.1287
0.270000,11.9364
0.273333,13.1984
0.276667,15.1057
0.280000,16.1357
0.283333,17.1111
0.286667,15.3488
0.290000,11.8133
0.293333,9.7821
0.296667,12.9689
0.300000,11.7427
0.303333,9.1175
0.306667,10.9162
0.310000,16.9021
0.313333,20.2222
